,state,county name,County seat,state initial,studio_2021,bedroom_1_2021,bedroom_2_2021,bedroom_3_2021,bedroom_4_2021
122,13,Montgomery County,Mount Vernon,GA,547.0,568.0,648.0,927.0,975.0
123,13,Pierce County,Blackshear,GA,582.0,586.0,695.0,873.0,1099.0
124,13,Polk County,Cedartown,GA,571.0,574.0,757.0,977.0,1027.0
125,13,Putnam County,Eatonton,GA,725.0,754.0,859.0,1068.0,1200.0
126,13,Quitman County,Georgetown,GA,517.0,520.0,661.0,901.0,995.0
127,13,Rabun County,Clayton,GA,565.0,569.0,750.0,933.0,1188.0
128,13,Randolph County,Cuthbert,GA,523.0,527.0,694.0,863.0,1044.0
129,13,Schley County,Ellaville,GA,488.0,492.0,648.0,927.0,975.0
130,13,Screven County,Sylvania,GA,488.0,492.0,648.0,913.0,975.0
131,13,Seminole County,Donalsonville,GA,518.0,602.0,765.0,953.0,1120.0
132,13,Stephens County,Toccoa,GA,510.0,514.0,677.0,969.0,1131.0
133,13,Stewart County,Lumpkin,GA,488.0,492.0,648.0,806.0,975.0
134,13,Sumter County,Americus,GA,560.0,564.0,743.0,924.0,1236.0
135,13,Talbot County,Talbotton,GA,609.0,613.0,779.0,1011.0,1172.0
136,13,Taliaferro County,Crawfordville,GA,507.0,510.0,648.0,806.0,1122.0
137,13,Tattnall County,Reidsville,GA,547.0,568.0,648.0,927.0,1122.0
138,13,Taylor County,Butler,GA,428.0,510.0,648.0,842.0,1011.0
139,13,Telfair County,McRae,GA,446.0,532.0,676.0,841.0,917.0
140,13,Thomas County,Thomasville,GA,638.0,640.0,844.0,1054.0,1325.0
141,13,Tift County,Tifton,GA,533.0,537.0,681.0,847.0,1000.0
142,13,Toombs County,Lyons,GA,488.0,492.0,648.0,872.0,1122.0
143,13,Towns County,Hiawassee,GA,614.0,618.0,753.0,974.0,1304.0
144,13,Treutlen County,Soperton,GA,507.0,510.0,648.0,927.0,943.0
145,13,Troup County,Lagrange,GA,637.0,641.0,845.0,1140.0,1183.0
146,13,Turner County,Ashburn,GA,507.0,510.0,648.0,806.0,1122.0
147,13,Union County,Blairsville,GA,546.0,549.0,698.0,980.0,1175.0
148,13,Upson County,Thomaston,GA,474.0,545.0,718.0,898.0,1128.0
149,13,Ware County,Waycross,GA,530.0,533.0,703.0,930.0,1123.0
150,13,Warren County,Warrenton,GA,503.0,506.0,667.0,872.0,1155.0
151,13,Washington County,Sandersville,GA,552.0,574.0,654.0,885.0,921.0
152,13,Wayne County,Jesup,GA,488.0,492.0,648.0,856.0,950.0
153,13,Webster County,Preston,GA,511.0,514.0,653.0,812.0,983.0
154,13,Wheeler County,Alamo,GA,507.0,510.0,648.0,927.0,975.0
155,13,White County,Cleveland,GA,619.0,623.0,763.0,1006.0,1035.0
156,13,Wilcox County,Abbeville,GA,507.0,510.0,648.0,865.0,975.0
157,13,Wilkes County,Washington,GA,558.0,562.0,740.0,975.0,1114.0
158,13,Wilkinson County,Irwinton,GA,527.0,530.0,699.0,869.0,979.0
