,state,county,cousub,county name,state initials,rent50_0_2018,rent50_0_2019,rent50_1_2018,rent50_1_2019,rent50_2_2018,rent50_2_2019,rent50_3_2018,rent50_3_2019,rent50_4_2018,rent50_4_2019,pop2010_2018,pop2010_2019,hu2010_2018,hu2010_2019
3821,47,179,99999,Washington County,TN,527,574.0,569,594.0,718,741.0,905,928.0,1048,1054.0,122979.0,122979.0,57254.0,57254.0
3822,47,181,99999,Wayne County,TN,449,457.0,467,468.0,613,619.0,769,776.0,845,919.0,17021.0,17021.0,7287.0,7287.0
3823,47,183,99999,Weakley County,TN,406,441.0,493,502.0,636,639.0,831,840.0,1021,1002.0,35021.0,35021.0,15495.0,15495.0
3824,47,185,99999,White County,TN,467,471.0,494,497.0,637,639.0,864,861.0,868,864.0,25841.0,25841.0,11511.0,11511.0
3825,47,187,99999,Williamson County,TN,777,884.0,867,970.0,1065,1175.0,1411,1550.0,1662,1852.0,183182.0,183182.0,68498.0,68498.0
3826,47,189,99999,Wilson County,TN,777,884.0,867,970.0,1065,1175.0,1411,1550.0,1662,1852.0,113993.0,113993.0,45568.0,45568.0
3827,48,1,99999,Anderson County,TX,610,622.0,688,719.0,807,828.0,1086,1165.0,1421,1454.0,58458.0,58458.0,20116.0,20116.0
3828,48,3,99999,Andrews County,TX,771,820.0,776,825.0,1032,1091.0,1294,1367.0,1614,1916.0,14786.0,14786.0,5814.0,5814.0
3829,48,5,99999,Angelina County,TX,722,725.0,743,743.0,853,851.0,1139,1126.0,1162,1173.0,86771.0,86771.0,35589.0,35589.0
3830,48,7,99999,Aransas County,TX,660,720.0,774,847.0,889,970.0,1283,1403.0,1402,1473.0,23158.0,23158.0,15355.0,15355.0
3831,48,9,99999,Archer County,TX,543,521.0,659,629.0,851,811.0,1185,1123.0,1499,1424.0,9054.0,9054.0,4107.0,4107.0
3832,48,11,99999,Armstrong County,TX,554,594.0,665,702.0,869,912.0,1154,1233.0,1327,1389.0,1901.0,1901.0,904.0,904.0
3833,48,13,99999,Atascosa County,TX,577,602.0,668,692.0,889,916.0,1140,1168.0,1292,1352.0,44911.0,44911.0,17631.0,17631.0
3834,48,15,99999,Austin County,TX,771,818.0,827,874.0,1065,1114.0,1335,1396.0,1876,1957.0,28417.0,28417.0,12926.0,12926.0
3835,48,17,99999,Bailey County,TX,527,526.0,553,611.0,697,700.0,1014,1012.0,1090,1079.0,7165.0,7165.0,2784.0,2784.0
3836,48,19,99999,Bandera County,TX,691,738.0,853,905.0,1066,1126.0,1407,1479.0,1708,1811.0,20485.0,20485.0,11561.0,11561.0
3837,48,21,99999,Bastrop County,TX,928,1004.0,1104,1170.0,1350,1417.0,1812,1869.0,2178,2262.0,74171.0,74171.0,29316.0,29316.0
3838,48,23,99999,Baylor County,TX,521,526.0,524,535.0,697,700.0,962,1012.0,1090,1079.0,3726.0,3726.0,2665.0,2665.0
3839,48,25,99999,Bee County,TX,671,730.0,676,735.0,899,924.0,1308,1336.0,1438,1495.0,31861.0,31861.0,10649.0,10649.0
3840,48,27,99999,Bell County,TX,609,622.0,613,626.0,815,823.0,1161,1186.0,1435,1446.0,310235.0,310235.0,125470.0,125470.0
3841,48,29,99999,Bexar County,TX,691,738.0,853,905.0,1066,1126.0,1407,1479.0,1708,1811.0,1714773.0,1714773.0,662872.0,662872.0
3842,48,31,99999,Blanco County,TX,677,670.0,681,674.0,906,891.0,1243,1177.0,1588,1452.0,10497.0,10497.0,5532.0,5532.0
3843,48,33,99999,Borden County,TX,599,609.0,629,644.0,792,810.0,1051,1076.0,1239,1248.0,641.0,641.0,385.0,385.0
3844,48,35,99999,Bosque County,TX,575,582.0,579,585.0,770,774.0,965,970.0,1049,1046.0,18212.0,18212.0,9623.0,9623.0
3845,48,37,99999,Bowie County,TX,592,604.0,665,663.0,843,847.0,1084,1080.0,1249,1332.0,92565.0,92565.0,38493.0,38493.0
3846,48,39,99999,Brazoria County,TX,877,787.0,1020,1015.0,1196,1175.0,1585,1567.0,2106,2064.0,313166.0,313166.0,118336.0,118336.0
3847,48,41,99999,Brazos County,TX,695,698.0,802,811.0,964,963.0,1402,1392.0,1698,1691.0,194851.0,194851.0,77700.0,77700.0
3848,48,43,99999,Brewster County,TX,629,630.0,633,634.0,842,839.0,1143,1130.0,1147,1134.0,9232.0,9232.0,5383.0,5383.0
3849,48,45,99999,Briscoe County,TX,527,526.0,553,557.0,697,700.0,880,883.0,1090,1079.0,1637.0,1637.0,953.0,953.0
3850,48,47,99999,Brooks County,TX,527,526.0,553,557.0,697,700.0,874,877.0,1090,1079.0,7223.0,7223.0,3239.0,3239.0
3851,48,49,99999,Brown County,TX,508,524.0,626,630.0,741,743.0,1060,1074.0,1173,1201.0,38106.0,38106.0,18287.0,18287.0
3852,48,51,99999,Burleson County,TX,695,698.0,802,811.0,964,963.0,1402,1392.0,1698,1691.0,17187.0,17187.0,8832.0,8832.0
3853,48,53,99999,Burnet County,TX,722,745.0,761,764.0,874,875.0,1271,1255.0,1539,1348.0,42750.0,42750.0,20870.0,20870.0
3854,48,55,99999,Caldwell County,TX,928,1004.0,1104,1170.0,1350,1417.0,1812,1869.0,2178,2262.0,38066.0,38066.0,13759.0,13759.0
