,state,county name,County seat,state initial,studio_2021,bedroom_1_2021,bedroom_2_2021,bedroom_3_2021,bedroom_4_2021,lat,lng,coordinates,Distance (miles)
110,13,Hart County,Hartwell,GA,564.0,568.0,748.0,930.0,1152.0,34.3528825,-82.932087,"(34.3528825, -82.932087)",109
111,13,Irwin County,Ocilla,GA,507.0,510.0,648.0,806.0,975.0,31.5943567,-83.2504328,"(31.5943567, -83.2504328)",187
112,13,Jackson County,Jefferson,GA,595.0,599.0,789.0,1078.0,1194.0,34.1170537,-83.5723876,"(34.1170537, -83.5723876)",61
113,13,Jeff Davis County,Hazlehurst,GA,507.0,510.0,648.0,806.0,887.0,31.8696309,-82.59430259999999,"(31.8696309, -82.59430259999999)",187
114,13,Jefferson County,Louisville,GA,488.0,492.0,648.0,833.0,1107.0,33.0015407,-82.4112377,"(33.0015407, -82.4112377)",145
115,13,Jenkins County,Millen,GA,507.0,510.0,648.0,870.0,975.0,32.8040512,-81.9492812,"(32.8040512, -81.9492812)",176
116,13,Johnson County,Wrightsville,GA,547.0,568.0,648.0,877.0,975.0,32.7293279,-82.719859,"(32.7293279, -82.719859)",142
117,13,Laurens County,Dublin,GA,526.0,529.0,648.0,888.0,1035.0,32.5404447,-82.90375399999999,"(32.5404447, -82.90375399999999)",137
118,13,Lumpkin County,Dahlonega,GA,694.0,699.0,921.0,1215.0,1533.0,34.5261465,-83.9843953,"(34.5261465, -83.9843953)",65
119,13,Macon County,Oglethorpe,GA,516.0,519.0,648.0,806.0,1122.0,32.293769,-84.0610191,"(32.293769, -84.0610191)",118
120,13,Miller County,Colquitt,GA,634.0,649.0,740.0,920.0,1114.0,31.17129349999999,-84.7332527,"(31.17129349999999, -84.7332527)",211
121,13,Mitchell County,Camilla,GA,569.0,592.0,675.0,840.0,915.0,31.2312933,-84.21046109999999,"(31.2312933, -84.21046109999999)",205
122,13,Montgomery County,Mount Vernon,GA,547.0,568.0,648.0,927.0,975.0,32.1785145,-82.5945783,"(32.1785145, -82.5945783)",165
123,13,Pierce County,Blackshear,GA,582.0,586.0,695.0,873.0,1099.0,31.3060513,-82.2420661,"(31.3060513, -82.2420661)",237
124,13,Polk County,Cedartown,GA,571.0,574.0,757.0,977.0,1027.0,34.0112715,-85.25658229999999,"(34.0112715, -85.25658229999999)",72
125,13,Putnam County,Eatonton,GA,725.0,754.0,859.0,1068.0,1200.0,33.3267997,-83.3884961,"(33.3267997, -83.3884961)",77
126,13,Quitman County,Georgetown,GA,517.0,520.0,661.0,901.0,995.0,31.884605,-85.1074308,"(31.884605, -85.1074308)",158
127,13,Rabun County,Clayton,GA,565.0,569.0,750.0,933.0,1188.0,34.8781479,-83.4009933,"(34.8781479, -83.4009933)",108
128,13,Randolph County,Cuthbert,GA,523.0,527.0,694.0,863.0,1044.0,31.7712748,-84.7893658,"(31.7712748, -84.7893658)",162
129,13,Schley County,Ellaville,GA,488.0,492.0,648.0,927.0,975.0,32.2382139,-84.30907979999999,"(32.2382139, -84.30907979999999)",125
130,13,Screven County,Sylvania,GA,488.0,492.0,648.0,913.0,975.0,32.7504441,-81.636776,"(32.7504441, -81.636776)",204
131,13,Seminole County,Donalsonville,GA,518.0,602.0,765.0,953.0,1120.0,31.0404625,-84.87909110000001,"(31.0404625, -84.87909110000001)",222
132,13,Stephens County,Toccoa,GA,510.0,514.0,677.0,969.0,1131.0,34.5773206,-83.3323851,"(34.5773206, -83.3323851)",94
133,13,Stewart County,Lumpkin,GA,488.0,492.0,648.0,806.0,975.0,32.0509895,-84.7990901,"(32.0509895, -84.7990901)",141
134,13,Sumter County,Americus,GA,560.0,564.0,743.0,924.0,1236.0,32.0723861,-84.23268759999999,"(32.0723861, -84.23268759999999)",137
135,13,Talbot County,Talbotton,GA,609.0,613.0,779.0,1011.0,1172.0,32.6776372,-84.5393664,"(32.6776372, -84.5393664)",91
136,13,Taliaferro County,Crawfordville,GA,507.0,510.0,648.0,806.0,1122.0,33.5540209,-82.8959785,"(33.5540209, -82.8959785)",93
137,13,Tattnall County,Reidsville,GA,547.0,568.0,648.0,927.0,1122.0,32.0868611,-82.1178978,"(32.0868611, -82.1178978)",200
138,13,Taylor County,Butler,GA,428.0,510.0,648.0,842.0,1011.0,32.5570898,-84.2382482,"(32.5570898, -84.2382482)",102
139,13,Telfair County,McRae,GA,446.0,532.0,676.0,841.0,917.0,32.0679541,-82.9006993,"(32.0679541, -82.9006993)",163
140,13,Thomas County,Thomasville,GA,638.0,640.0,844.0,1054.0,1325.0,30.8365815,-83.9787808,"(30.8365815, -83.9787808)",226
141,13,Tift County,Tifton,GA,533.0,537.0,681.0,847.0,1000.0,31.4504629,-83.5084973,"(31.4504629, -83.5084973)",181
142,13,Toombs County,Lyons,GA,488.0,492.0,648.0,872.0,1122.0,32.2043546,-82.32179099999999,"(32.2043546, -82.32179099999999)",186
143,13,Towns County,Hiawassee,GA,614.0,618.0,753.0,974.0,1304.0,34.9492586,-83.7573948,"(34.9492586, -83.7573948)",107
144,13,Treutlen County,Soperton,GA,507.0,510.0,648.0,927.0,943.0,32.37711820000001,-82.5923554,"(32.37711820000001, -82.5923554)",155
145,13,Troup County,Lagrange,GA,637.0,641.0,845.0,1140.0,1183.0,33.0362218,-85.0322444,"(33.0362218, -85.0322444)",67
146,13,Turner County,Ashburn,GA,507.0,510.0,648.0,806.0,1122.0,31.7060134,-83.653224,"(31.7060134, -83.653224)",160
147,13,Union County,Blairsville,GA,546.0,549.0,698.0,980.0,1175.0,34.8760734,-83.95844559999999,"(34.8760734, -83.95844559999999)",116
148,13,Upson County,Thomaston,GA,474.0,545.0,718.0,898.0,1128.0,32.8881879,-84.3265854,"(32.8881879, -84.3265854)",77
149,13,Ware County,Waycross,GA,530.0,533.0,703.0,930.0,1123.0,31.2135511,-82.3540178,"(31.2135511, -82.3540178)",237
150,13,Warren County,Warrenton,GA,503.0,506.0,667.0,872.0,1155.0,33.40708370000001,-82.6620781,"(33.40708370000001, -82.6620781)",109
151,13,Washington County,Sandersville,GA,552.0,574.0,654.0,885.0,921.0,32.9815431,-82.810138,"(32.9815431, -82.810138)",127
152,13,Wayne County,Jesup,GA,488.0,492.0,648.0,856.0,950.0,31.6074365,-81.8853924,"(31.6074365, -81.8853924)",231
153,13,Webster County,Preston,GA,511.0,514.0,653.0,812.0,983.0,32.0659918,-84.537417,"(32.0659918, -84.537417)",149
154,13,Wheeler County,Alamo,GA,507.0,510.0,648.0,927.0,975.0,32.1471202,-82.7779171,"(32.1471202, -82.7779171)",160
155,13,White County,Cleveland,GA,619.0,623.0,763.0,1006.0,1035.0,34.5970402,-83.7632366,"(34.5970402, -83.7632366)",81
156,13,Wilcox County,Abbeville,GA,507.0,510.0,648.0,865.0,975.0,31.9921223,-83.3068243,"(31.9921223, -83.3068243)",152
157,13,Wilkes County,Washington,GA,558.0,562.0,740.0,975.0,1114.0,33.7367948,-82.7393089,"(33.7367948, -82.7393089)",110
158,13,Wilkinson County,Irwinton,GA,527.0,530.0,699.0,869.0,979.0,32.8112594,-83.1726541,"(32.8112594, -83.1726541)",113
